,ResponseId,,suggested_tip_disruption
0,R_0uOsLe6BeLnUee5,3,Only assign cooking to server once
1,R_10CNCLuGIedQoz2,1,Strategically leave some players idle.
2,R_12nnne04OpWcY9q,2,Server shouldn't cook
3,R_1C3aMTZKkeXGDUk,2,Don't let Server cook.
4,R_1DS9jhDoVpEt1m2,1,Chop before plating
5,R_1DSBO9nsHVa5CZf,1,keep everyone busy
6,R_1Fsa3bwfw5wjaYq,2,Minimize how much the server cooks.
7,R_1FzUufVIiFYTAVi,2,Server shouldn't cook.
8,R_1GxzqMAX7jRAH4b,1,Use their strengths to get the job done fast.
9,R_1Gynd02TVWmeIDc,2,Never have server cook
10,R_1IYmipElRhYKyDn,2,Server should only chop and plate
11,R_1IuQEOT9oh8HG6r,3,Let the Sous-Chef and Server cook at the same time.
12,R_1KiNAbM6l7sMKtU,1,Use basic math skills to decipher how to get the workers to complete tasks harmoniously
13,R_1N99BkJLRB31z8c,3,Sometimes Server should cook
14,R_1NyWGoSybx57eet,8,in my opinion
15,R_1OTQvoTyqYCXEIF,2,Only have the server do cooking tasks if there are no other options
16,R_1OpZRguCNGlKFqF,8,notes taken
17,R_1Q9EEjiJRr85ro5,2,dont let the server do the cook
18,R_1UnYTdpM2WNovGV,1,watch ticks
19,R_1du9bG1q6ISbhTO,1,Have everyone work at all times
20,R_1eF7atsVuEzZGOe,1,Keep everyone busy
21,R_1eRDlWMyxidey0h,1,Keep both busy
22,R_1exwA3WMu6uGvmI,2,don't let the server cook
23,R_1gCM2pcwrB60Lti,2,give the sous-chef the cooking job its faster
24,R_1gh9mCevjwYAnBX,6,The server should always plate.
25,R_1jBwX66kVkjvolM,1,Don't be afraid to try out different combinations. You can feel out what will work best.
26,R_1jT8Nku4R2taCU7,2,"Avoid having the Server cook, if possible"
27,R_1kLdxVc2picVMiU,2,Server should never cook.
28,R_1kMmCM6t8SG2WHd,6,Make sure server plates
29,R_1kTEUSBbtEZ5chq,2,Don't give the cooking to the server.
30,R_1kXG7dKcyllMn85,1,Keep both workers busy!
31,R_1loUOn6z5zjAp8J,3,Server should only cook once
32,R_1msH0vKGHcI12FI,2,Don't let the Server cook.
33,R_1oA0wvZ3NMHGDYw,3* (5),The server can chop and cook too!
34,R_1oAnoWCM1GZCMVu,4,sous chef should chop
35,R_1ohSdgFwX6d52kL,2,let the chef cook
36,R_1pDJthmszeO5qk3,2,The Sous-Chef should always cook.
37,R_1pz0YeqLrotxv2a,4,Have the sous chef chop as much as possible.
38,R_21GOakJW0vh1rIN,2,don't have the server cook burgers
39,R_21aleZnnNCNAVEa,6,I would say not to ever let the chef plate.
40,R_21gnTlYKrjHT9gO,8,"Apparently, two tasks can be assigned to one chef at the same time - I don't think they have to be divided between chefs.  (I didn't know that while I was playing the game.)"
41,R_22Jqbg60wkd9mub,6,Sous-chef shouldn't plate
